1	
2	
3	3.2.1.17:14
4	3.2.1.17:66
5	3.2.1.17:70
6	
7	
8	
9	3.2.1.17:70
10	
11	
12	
13	
14	
15	3.2.1.17:46
16	
17	
18	3.2.1.17:55
19	
20	
21	
22	
23	
24	
25	3.2.1.17:140
26	
27	
28	
29	
30	3.2.1.17:27
31	
32	
33	
34	
35	
36	
37	
38	
39	
40	
41	
42	
43	
44	3.2.1.17:19
45	3.2.1.17:141
46	3.2.1.17:48
47	
48	3.2.1.17:107
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
60	
61	
62	
63	
64	
65	
66	3.2.1.17:10
67	
68	
69	
70	
71	
72	
73	3.2.1.17:30
74	3.2.1.17:70
75	
76	
77	
78	
79	
80	
81	
82	3.2.1.17:43
83	
84	
85	
86	
87	
88	
89	
90	
91	
92	
93	
94	
95	
96	
97	
98	
99	
100	
101	
102	
103	
104	
105	
106	
107	
108	
109	
110	
111	
112	
113	
114	
115	
116	
117	
118	
119	
120	
121	
122	
123	
124	
125	
126	
127	
128	
129	
130	
131	
